OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
114,57.02,57.2,0.10298,0,0,2000 Tract 57.02,0,0,0,0,0,-16,-10,-6,0,0,-2,0,-100,16,0,-16,-1,0,0,0,0,0,0,0,0,0,57.2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323894,129105.2222,87736,0,0,2397084,151185,Tract00Ply_91,,,,,0,0
115,62.02,62.2,4.44296,2.7009,12,2000 Tract 62.02,5,1,0.08333,11,0.91666,-43,-29,-14,0,0,-6,0,-78.182,55,12,-43,-0.78181,7,5,0,0,0,0,0,0,0,62.2, ,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,,,,0,0,,,Tract00Ply_92,,,,,0,0
116,83.01,83.1,0.11735,19113.76225,2243,2000 Tract 83.01,1162,217,0.09674,2026,0.90325,-103,36,-171,17,49,23,14,-4.39,2346,2243,-103,-0.0439,1300,752,6,62,1,8,74,609,0.52409,83.1, ,72,197,6,21,31,56,269,0,0,0,0,0,0,271,508,82321222,79078.9837,57367,0,0,77003241,68620,Tract00Ply_93,,,,,0,0
117,47,47,0.24931,17576.51117,4382,2000 Tract 47,1740,1444,0.32952,2938,0.67047,-173,-19,-190,8,55,16,42,-3.798,4555,4382,-173,-0.03798,119,4020,14,114,1,8,49,120,0.06896,47, ,72,98,27,37,466,199,170,0,0,0,0,0,0,65,776,27885174,22837.9803,17455,0,0,26274132,21878.5,Tract00Ply_94,,,,,0,0
118,89.03,89.3,0.11709,20462.89179,2396,2000 Tract 89.03,1040,637,0.26585,1759,0.73414,-961,15,-972,-1,8,17,15,-28.627,3357,2396,-961,-0.28626,13,2315,2,13,0,1,35,330,0.3173,89.3, ,54,117,33,51,177,151,171,0,0,0,0,0,0,67,390,27371506,25509.3253,21625,0,0,25012562,25570,Tract00Ply_95,,,,,0,0
119,52.02,52.2,0.07161,10613.04287,760,2000 Tract 52.02,511,66,0.08684,694,0.91315,18,-4,-9,3,85,-39,-8,2.426,742,760,18,0.02425,271,151,3,153,0,4,140,6,0.01174,52.2, ,26,32,3,8,8,14,58,0,0,0,0,0,0,48,372,12062198,39036.2395,31960,0,0,11494821,39062,Tract00Ply_96,,,,,0,0
120,51,51,0.15187,5155.72529,783,2000 Tract 51,573,32,0.04086,751,0.95913,-212,-97,-86,10,-16,14,22,-21.307,995,783,-212,-0.21306,422,195,6,35,0,1,89,89,0.15532,51, ,13,34,2,8,5,6,47,0,0,0,0,0,0,50,455,48352992,109893.1636,45761,0,0,51841645,52511,Tract00Ply_97,,,,,0,0
121,89.04,89.4,0.17626,18427.32327,3248,2000 Tract 89.04,1440,926,0.28509,2322,0.7149,-615,17,-637,13,9,-2,16,-15.92,3863,3248,-615,-0.1592,27,3140,16,1,0,4,35,161,0.1118,89.4, ,74,108,34,52,294,207,182,0,0,0,0,0,0,88,583,30357860,23138.6128,20269,0,0,25919022,23373,Tract00Ply_98,,,,,0,0
122,56,56,0.21104,28174.7536,5946,2000 Tract 56,3529,83,0.01395,5863,0.98604,1288,751,137,19,417,84,106,27.651,4658,5946,1288,0.27651,4454,344,14,619,3,27,363,1247,0.35335,56, ,38,425,5,29,10,49,463,28,0,28,3700000,0,3700000,523,2450,169734687,92096.9544,53162,0,0,176060863,65502.5,Tract00Ply_99,,,,,0,0
123,98.03,98.3,0.20649,10828.61156,2236,2000 Tract 98.03,969,634,0.28354,1602,0.71645,-575,-14,-563,24,0,-11,6,-20.455,2811,2236,-575,-0.20455,25,2154,3,5,0,4,20,191,0.19711,98.3, ,81,105,17,30,193,109,186,0,0,0,0,0,0,61,373,24873670,28855.7657,25493,0,0,23170893,29538,Tract00Ply_157,,,,,0,0
